epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1029.44,2.10857,2.38865,1.34412,0.32693,0.22307,0.18501,0.09796,1.59768,1.11665,1.15964,0.02,0.02,0.02
2,2034.51,1.44335,0.96082,1.09936,0.36245,0.25712,0.22203,0.12016,1.48741,1.15709,1.11521,0.0195155,0.0195155,0.0195155
3,3021.19,1.33533,0.86819,1.057,0.4341,0.32457,0.29521,0.16868,1.34258,0.84142,1.06843,0.0181093,0.0181093,0.0181093
4,4023.2,1.27778,0.81984,1.03338,0.45608,0.3462,0.3272,0.18985,1.26548,0.7886,1.03798,0.0159191,0.0159191,0.0159191
5,5012.09,1.23511,0.78297,1.01636,0.48365,0.36893,0.35313,0.20858,1.24355,0.74738,1.03847,0.0131593,0.0131593,0.0131593
6,6012.86,1.19832,0.75021,1.00213,0.5078,0.37585,0.36915,0.22123,1.20145,0.71897,1.01691,0.0101,0.0101,0.0101
7,7014.51,1.16282,0.71658,0.98811,0.52667,0.3862,0.38568,0.23367,1.19147,0.70012,1.02034,0.00704073,0.00704073,0.00704073
8,8024.46,1.12709,0.68323,0.97524,0.5387,0.38696,0.39112,0.23803,1.17733,0.69669,1.0087,0.00428093,0.00428093,0.00428093
9,9026.5,1.09583,0.65297,0.96367,0.54421,0.38723,0.393,0.2397,1.18634,0.69756,1.01872,0.00209073,0.00209073,0.00209073
10,10012.9,1.07414,0.63286,0.95646,0.54306,0.37827,0.38471,0.23422,1.1978,0.70748,1.02473,0.00068454,0.00068454,0.00068454
